    p    n    -0.78235    -1.80574  -1
 10.00 11.00  -15.030  -13.734  -13.165
 30.00 11.00   -5.750   -2.656   -1.571
100.00 11.00    4.561    9.653   11.311
  f18  o18     1.65522     0.63183  -1
  0.01  1.00   -7.272   -4.011   -4.427
  0.10  1.00   -7.720   -4.011   -4.427
  0.20  1.00   -7.821   -4.011   -4.427
  0.40  1.00   -7.895   -4.011   -4.427
  0.70  1.00   -7.289   -4.011   -4.427
  1.00  1.00   -5.977   -4.011   -4.406
  1.50  1.00   -4.787   -4.011   -4.160
  2.00  1.00   -4.096   -4.001   -3.687
  3.00  1.00   -3.268   -3.927   -2.873
  5.00  1.00   -2.369   -3.735   -1.878
 10.00  1.00   -1.095   -3.055   -0.391
 30.00  1.00    1.384   -0.964    2.528
100.00  1.00    4.138    1.359    5.771
  0.01  2.00   -6.292   -4.011   -4.418
  0.10  2.00   -6.720   -4.011   -4.424
  0.20  2.00   -6.821   -4.011   -4.425
  0.40  2.00   -6.895   -4.011   -4.425
  0.70  2.00   -6.876   -4.011   -4.425
